occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.1056073,0.11375777,0.14423462,0.44009445,0.30484621,0.29413991,0.27071096,0.2827282
0.11019481,0.18391785,0.22907439,0.44820009,0.5164165,0.5633629,0.38944796,0.42136606
0.09075444,0.18933837,0.37879325,0.35456348,0.54535837,0.60080498,0.44385912,0.46292134
0.12415436,0.26568105,0.35350152,0.48169158,0.41774192,0.41258501,0.39889329,0.51891702
0.14506951,0.26770133,0.86684695,0.36490793,0.42081748,0.41122244,0.31933895,0.48126486
0.13391332,0.22366063,0.63043894,0.32859108,0.401863,0.26481045,0.24768259,1.10789073
0.13547667,0.23047378,0.22736909,0.4285496,0.31384579,0.23866066,0.2853073,1.38994709
0.16119269,1.00450454,0.18416022,0.18500598,1.20695519,0.26756988,0.22859586,0.50057713
0.17461599,0.60926346,0.32667651,0.17502432,1.07850009,0.77747572,0.21554521,0.28299261
0.39978836,0.0996298,0.82468283,0.39523905,1.24550662,0.91747089,1.1195334,0.43826956
0.36281496,0.20768114,0.49505404,0.47607492,0.97320197,0.75475053,0.8001995,0.59671433
0.15783923,0.28706433,1.20674892,0.66369345,0.61645555,0.6462389,0.40277171,0.61918774
0.21287124,0.192652,2.09246062,0.70426056,2.50361769,0.33482965,0.38517927,0.71889145
0.19707935,0.22660601,0.8204364,0.68123147,1.41500141,0.37071029,0.44374367,1.07745298
0.08558333,0.14516667,0.38508087,0.55216873,0.5667464,0.42274298,0.37785039,1.15755218
0.29711855,0.18857205,0.34965086,0.41097965,0.28253617,0.30987752,0.23914906,1.09973975
0.20946607,0.12222639,0.36825,0.27096011,0.47412884,0.31672077,0.57358375,0.33846441
0.19496709,0.13740206,0.31022212,0.39496406,0.51418447,0.39664549,0.49114862,0.31767117
0.16392383,0.42537175,0.43672125,0.62778373,0.37168877,0.60337014,1.01958128,0.44428338
0.37303266,0.3704526,0.49145076,0.55516671,0.86130094,0.6754867,0.72608266,1.18597915
