"Tick","New Column","NetDemand","CurrentPriceSignal","AgentID"
149.0,97.86760711669922,97.86761,27060.0,Prosumer 596
150.0,92.66888427734375,92.668884,26601.25,Prosumer 596
151.0,127.24552917480469,127.24553,26457.5,Prosumer 596
152.0,139.59080505371094,139.5908,25923.75,Prosumer 596
153.0,98.66127014160156,98.66127,24836.25,Prosumer 596
154.0,131.4341583251953,131.43416,24373.75,Prosumer 596
155.0,124.30946350097656,124.30946,24411.25,Prosumer 596
156.0,102.66783905029297,102.66784,25282.5,Prosumer 596
157.0,107.8541259765625,107.854126,26181.25,Prosumer 596
158.0,92.51587677001953,92.51588,22191.0,Prosumer 596
159.0,128.2729949951172,128.273,29291.25,Prosumer 596
160.0,158.6626739501953,158.66267,25135.0,Prosumer 596
161.0,122.28206634521484,122.28207,26550.0,Prosumer 596
162.0,143.376953125,143.37695,28182.0,Prosumer 596
163.0,92.47627258300781,92.47627,36798.75,Prosumer 596
164.0,112.11097717285156,112.11098,38017.5,Prosumer 596
165.0,110.59117126464844,110.59117,38636.25,Prosumer 596
166.0,112.88368225097656,112.88368,31443.0,Prosumer 596
167.0,132.4088592529297,132.40886,31852.0,Prosumer 596
168.0,166.10838317871094,166.10838,40033.75,Prosumer 596
169.0,199.91122436523438,199.91122,31888.0,Prosumer 596
170.0,350.6324768066406,350.63248,31484.0,Prosumer 596
171.0,287.1942138671875,287.1942,31096.0,Prosumer 596
172.0,354.10406494140625,354.10406,38446.25,Prosumer 596
173.0,204.45655822753906,204.45656,38016.25,Prosumer 596
174.0,164.2090606689453,164.20906,37971.25,Prosumer 596
175.0,99.37177276611328,99.37177,38085.0,Prosumer 596
176.0,233.24208068847656,233.24208,38331.25,Prosumer 596
177.0,320.6165771484375,320.61658,38941.25,Prosumer 596
178.0,192.52069091796875,192.52069,39283.75,Prosumer 596
179.0,135.7418975830078,135.7419,39155.0,Prosumer 596
180.0,150.93756103515625,150.93756,39007.5,Prosumer 596
181.0,338.4481201171875,338.44812,38890.0,Prosumer 596
182.0,265.9151916503906,265.9152,38773.75,Prosumer 596
183.0,305.6044921875,305.6045,38378.75,Prosumer 596
184.0,134.82383728027344,134.82384,38050.0,Prosumer 596
185.0,611.1783447265625,611.17834,37587.5,Prosumer 596
186.0,612.4169921875,612.417,37873.75,Prosumer 596
187.0,271.048828125,271.04883,38076.25,Prosumer 596
188.0,219.51895141601562,219.51895,38192.5,Prosumer 596
189.0,224.9303436279297,224.93034,36505.0,Prosumer 596
190.0,236.33984375,236.33984,34301.25,Prosumer 596
191.0,201.508544921875,201.50854,31986.25,Prosumer 596
192.0,124.17444610595703,124.174446,30381.25,Prosumer 596
193.0,77.45364379882812,77.45364,29506.25,Prosumer 596
194.0,121.32183837890625,121.32184,28928.75,Prosumer 596
195.0,261.86285400390625,261.86285,28446.25,Prosumer 596
196.0,269.3471984863281,269.3472,27907.5,Prosumer 596
197.0,212.93765258789062,212.93765,27500.0,Prosumer 596
198.0,233.86087036132812,233.86087,27353.75,Prosumer 596
199.0,236.32522583007812,236.32523,27265.0,Prosumer 596
200.0,196.69921875,196.69922,27186.25,Prosumer 596
201.0,196.88511657714844,196.88512,26603.75,Prosumer 596
202.0,128.52169799804688,128.5217,26902.5,Prosumer 596
203.0,90.62738800048828,90.62739,28135.0,Prosumer 596
204.0,190.51853942871094,190.51854,31535.0,Prosumer 596
205.0,173.10781860351562,173.10782,35286.25,Prosumer 596
206.0,166.76480102539062,166.7648,39940.0,Prosumer 596
207.0,123.01468658447266,123.01469,43133.75,Prosumer 596
208.0,95.73002624511719,95.73003,45326.25,Prosumer 596
209.0,597.2494506835938,597.24945,46515.0,Prosumer 596
210.0,290.7413330078125,290.74133,47828.75,Prosumer 596
211.0,171.41439819335938,171.4144,48463.75,Prosumer 596
212.0,252.78016662597656,252.78017,48548.75,Prosumer 596
213.0,153.58509826660156,153.5851,48795.0,Prosumer 596
214.0,162.95860290527344,162.9586,49033.75,Prosumer 596
215.0,124.85000610351562,124.850006,49206.25,Prosumer 596
216.0,869.3955688476562,869.39557,49338.75,Prosumer 596
217.0,1201.92724609375,1201.9272,49100.0,Prosumer 596
218.0,135.74684143066406,135.74684,48867.5,Prosumer 596
219.0,176.90280151367188,176.9028,48602.5,Prosumer 596
220.0,245.90565490722656,245.90565,48462.5,Prosumer 596
221.0,678.3567504882812,678.35675,48178.75,Prosumer 596
222.0,277.3310546875,277.33105,47852.5,Prosumer 596
223.0,163.49734497070312,163.49734,48381.25,Prosumer 596
224.0,117.30657196044922,117.30657,48937.5,Prosumer 596
225.0,226.5126953125,226.5127,49552.5,Prosumer 596
226.0,138.9774627685547,138.97746,49451.25,Prosumer 596
