Conventions,G,BADC-CSV,1,,,,,,,,,,,
08/01/2019 06:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 05:52,0
08/01/2019 07:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 06:52,0
08/01/2019 08:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 07:52,0
08/01/2019 09:00,535672,RAIN,12,1,NCM,1171,1011,0,NA,6,NA,NA,08/01/2019 08:53,0
08/01/2019 09:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 08:53,0
08/01/2019 10:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 09:52,0
08/01/2019 11:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 10:52,0
08/01/2019 12:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 11:52,0
08/01/2019 13:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 12:52,0
08/01/2019 14:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 13:52,0
08/01/2019 15:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 14:53,0
08/01/2019 16:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 15:52,0
08/01/2019 17:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,08/01/2019 16:54,0
