occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.013031635,0.0107283,0.02919798,0.098043675,0.109549965,0.180209755,0.064065,0.06928398
0.009110775,0.00951666,0.008682525,0.06940176,0.08572624,0.127037205,0.02911689,0.050932975
0.016604055,0.01206018,0.02552045,0.067293525,0.069893765,0.12580067,0.036023415,0.0528495
0.028196915,0.025340155,0.007954015,0.05869142,0.055653215,0.10727446,0.05939901,0.057798435
0.01592455,0.02337595,0.01663818,0.040301625,0.04925079,0.10347722,0.036050305,0.0245
0.00375,0.030073115,0.027894695,0.106656975,0.027157655,0.09412935,0.05,0.12452294
0.02125,0.005811645,0.007041675,0.04153703,0.050866175,0.056005135,0.02625,0.11355369
0.004791665,0.006674845,0.01206438,0.0275,0.015,0.03271455,0.0425,0.057107835
0.01934172,0.01293855,0.0175,0.028583335,0.025052795,0.0275,0.041958335,0.059771475
0.0175,0.01439721,0.016666665,0.03753909,0.028450765,0.057213365,0.02875,0.05846848
0.03,0.061266175,0.05125,0.01774286,0.033771795,0.038260745,0.048798875,0.04582366
0.01882883,0.05117167,0.04173102,0.121541285,0.09960174,0.098406015,0.107333675,0.04428848
0.035287665,0.067036715,0.07041458,0.19675577,0.151620445,0.165488195,0.119507445,0.103013215
0.03265314,0.084188885,0.151200635,0.16773727,0.177370525,0.160035225,0.18104241,0.17580175
0.130546025,0.085299945,0.11560007,0.269208805,0.197217345,0.19274321,0.30950038,0.27188307
0.064766085,0.12081435,0.449382135,0.200822415,0.20733178,0.690009325,0.26208512,0.207936785
0.058010305,0.11443424,0.32295084,0.2059743,0.207843655,0.4796768,0.19035862,0.238831855
0.05629545,0.11777944,0.2535895,0.18311223,0.156380825,0.111121315,0.13332405,0.159843165
0.097579285,0.114689575,0.28095368,0.128130085,0.13316518,0.18941231,0.17485386,0.1433382
0.135840995,0.079885615,0.269282195,0.11305295,0.18070071,0.144768075,0.12119418,0.1597829
0.092986085,0.08160574,0.602321605,0.16992619,0.150614115,0.08869133,0.139479375,0.124251175
0.0759883,0.07047423,0.250665575,0.298697215,0.119632545,0.09299748,0.205226475,0.09874598
0.08486771,0.64790121,0.491559225,0.19556593,0.11692956,0.103553425,0.184929305,0.1034709
0.35520901,0.379102005,0.475137185,0.110736,0.140644065,0.180942975,0.250861185,0.19583655
0.29454542,0.33681346,0.99026467,0.17876272,0.646682985,0.141359155,0.25172971,0.53086699
0.182839945,0.111514735,0.30358282,0.20026494,0.45787804,0.125574235,0.13169011,0.648433485
0.154305085,0.162994635,0.134730845,0.137461595,0.22308191,0.08943479,0.182038795,0.328074715
0.095079665,0.17695143,0.10595299,0.15839635,0.18487333,0.07542382,0.199495905,0.30547676
0.09690714,0.076044345,0.081957125,0.134747505,0.158390815,0.218073615,0.189759605,0.1669956
0.092915845,0.05865341,0.17149742,0.32785801,0.24107182,0.479149245,0.171595915,0.1074476
0.083293435,0.139939715,0.34832858,0.38646243,0.48659857,0.210352645,0.27175533,0.181294805
0.08764797,0.164196655,0.252852575,0.192059895,0.434555585,0.267574085,0.265652775,0.127246985
0.1778658,0.27702371,0.2836013,0.27685136,0.305053255,0.46674346,0.357339725,0.21897696
