, Job_ID,Count,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
812,CO2_1_Fin_11-11_119,119.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,24.0,24.0,24.0,1.203171132,7.047386119,130.3370217,-1.565596856,2.073007249,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125361634166987,12.120255904274508,12.114268539714692,12.341664871481973,12.307669982705375,12.331710921077448,12.356369195503225,12.38602095561301,12.417213829373798,12.503573030444901,12.576314764257594,12.637862973684301,12.689318964847908,12.771300326114126,12.888917560585801,12.977501758002727,13.062575845744947,12.056298177196544,12.057954474520457,12.257188218734772,12.211744375549374,12.210641920640379,12.211846983279992,12.214238319497957,12.216591352355843,12.086308834889829,12.083489546759816,0.0,0.0,0.0,0.0,0.0,0.0
813,CO2_1_Fin_11-11_120,120.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,1.198187407,9.083814086,129.7900244,-1.9787055,2.620004525,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125516093721076,12.120379140460827,12.11436694318641,12.362819397902104,12.320412394444576,12.34462100576102,12.369651206464956,12.399777281019981,12.441862691087875,12.52559947380265,12.602341594715893,12.664192167068581,12.71585063302388,12.798530917898853,12.917299055811538,12.107207057266315,12.16813575961595,12.179034378877097,12.188862643330012,12.05807629985614,12.056999067798943,12.352825363848506,12.263106370475944,12.2302578928957,12.23219335072522,12.086381696840196,12.083535484250167,0.0,0.0,0.0,0.0,0.0,0.0
814,CO2_1_Fin_11-11_121,121.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,24.0,24.0,24.0,1.198206197,9.04383478,129.79060259999997,-1.978268832,2.6194263319999997,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125476840368144,12.120347138336301,12.114340952526627,12.362292800188413,12.320094373450239,12.34430193702235,12.369325636808789,12.399443671465317,12.441293331592984,12.525094316677693,12.60175071529869,12.663596285758322,12.71525178642276,12.79791866832304,12.91666305007605,12.107003964773464,12.168010905077944,12.055778300573257,12.057837377432545,12.290470502902672,12.252763956882717,12.227314628348669,12.227677746653255,12.229558639348895,12.231568480557875,12.086360817232498,12.083517914545514,0.0,0.0,0.0,0.0,0.0,0.0
815,CO2_1_Fin_11-11_122,122.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,24.0,24.0,1.2081650309999998,5.136417112,130.8814374,-1.154437862,1.5285915069999998,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12537905110092,12.120273257512004,12.114284569778068,12.320779309285513,12.294918967486765,12.318746914676959,12.343002002239041,12.372147069225784,12.402804765951295,12.473720760283323,12.549507901565802,12.610840107247938,12.662081992776292,12.743341721569262,12.859745773421217,12.94779864261296,13.032375571211823,13.06987524034589,13.08355502880836,12.05864194124479,12.05715786431995,12.252276062168658,12.21868818954097,12.198433008670982,12.201157244302467,12.086334727633245,12.083529910321596,0.0,0.0,0.0,0.0,0.0,0.0
816,CO2_1_Fin_11-11_123,123.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,24.0,24.0,24.0,1.198078402,9.365744439,129.77553419999998,-1.989648941,2.6344947380000003,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125435086257555,12.120312861126239,12.241627118006337,12.110259412226808,12.106804558547733,12.56026714355217,12.415394169375404,12.402223069266292,12.445295909321926,12.528651031551314,12.605727478315893,12.667538552285926,12.719157165668147,12.801865624085359,12.920715815229926,12.10831101418757,12.16881759778924,12.055773671846893,12.05783065481458,12.292890964727556,12.254182492935266,12.22849889608265,12.22882072630826,12.230664890299126,12.23265470604807,12.086338367957104,12.083497170807064,0.0,0.0,0.0,0.0,0.0,0.0
817,CO2_1_Fin_11-11_124,124.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,1.2085103609999999,5.024295445,130.9182709,-1.126620124,1.491758032,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12524295277998,12.120162070724636,12.114194128048208,12.319573230052114,12.294161713613564,12.317985594868754,12.342224749166121,12.37135182019437,12.401990390173635,12.472203172076009,12.548121683042298,12.609444291862989,12.660676791613096,12.741909802009793,12.85825056992855,12.946276992497726,13.03082935665756,13.068329928239526,13.082023790012764,12.137202745421813,12.181505645505792,12.191926134170673,12.194468840595105,12.197391301994152,12.200166322426195,12.086250809769455,12.08345778654473,0.0,0.0,0.0,0.0,0.0,0.0
818,CO2_1_Fin_11-11_125,125.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,1.215213542,3.206687802,131.6373459,-0.583553235,0.772683007,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125104094242296,12.120048445955403,12.11410140371115,12.317187630720705,12.292725117193676,12.316571003925343,12.34081154056742,12.369935517157073,12.400570936477552,12.470337521640465,12.546383162584156,12.607762866178058,12.659054489595,12.740331557917646,12.856696541370404,12.944769457579431,13.02936961904996,13.06693496456172,13.080699688622126,13.118304889709394,13.1690360491867,12.153165873740683,12.171151504932954,12.187653479335916,12.190950816758377,12.086219171263828,12.083439817646497,0.0,0.0,0.0,0.0,0.0,0.0
819,CO2_1_Fin_11-11_126,126.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,24.0,24.0,1.2018027279999999,8.386202669,130.1906583,-1.676134794,2.219370566,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125469718945975,12.120343214590132,12.240953614927617,12.110274322761217,12.106825869110265,12.104822492258679,12.103508109796774,12.746074970063509,12.48983089715379,12.520272365297895,12.595120112196444,12.656490305075467,12.707764680681352,12.789933912102205,12.90805977261057,12.996752638401167,13.081920147497659,12.056293762070299,12.057944145541915,12.05797935100169,12.057009891304755,12.333709442578417,12.252428184467677,12.221136993694852,12.223271359999497,12.08636746608403,12.083533279340472,0.0,0.0,0.0,0.0,0.0,0.0
820,CO2_1_Fin_11-11_127,127.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,1.213231641,4.231364483,131.42129609999998,-0.746720444,0.988732756,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125789246074596,12.120610396094301,12.114559950215575,12.308020061329222,12.287061395931595,12.310720134736783,12.334699253252477,12.363496175162968,12.393789306254162,12.455186609776321,12.53232264084762,12.593618499633907,12.644728066235185,12.073447481439306,12.10443311057461,13.839055876148857,13.092739084557241,13.07076495118033,13.082767904147136,13.119080506348654,13.168797188396736,12.15324656885593,12.171174831649887,12.187578472101938,12.190815337775017,12.086553747729646,12.083732457521075,0.0,0.0,0.0,0.0,0.0,0.0
821,CO2_1_Fin_11-11_128,128.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,1.19806002,9.406083229,129.7750083,-1.9900460580000001,2.63502056,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125473999424388,12.120344592501706,12.241687171764951,12.110281750614623,12.106823313178772,12.561171997531353,12.415771960202182,12.402562355145214,12.445873493037801,12.529163820228588,12.606326514861792,12.66814247184746,12.719763920145132,12.802485778440468,12.921359923040868,12.108516952885257,12.168944373482649,12.180140364569835,12.189986397876657,12.058070190701798,12.056992818000152,12.355570304286918,12.264466407643944,12.231370508750018,12.233285097964757,12.086358928321074,12.083514460122482,0.0,0.0,0.0,0.0,0.0,0.0
822,CO2_1_Fin_11-11_129,129.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,24.0,24.0,1.2074243999999998,6.045036202,130.80223700000002,-1.2142523490000001,1.607791886,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125320783496187,12.120225007738618,12.21966572597229,12.110173019820824,12.106756580209792,12.104766725872851,12.103461899212071,12.693446177709252,12.464073275971352,12.489051186921417,12.563539265500282,12.62464687410398,12.675708272309727,12.757061354635178,12.87381563093374,12.961913449975468,13.046530941816899,13.083850031848995,13.097243008230382,12.058632872217824,12.057145503036056,12.259384722790378,12.222929668273345,12.201915922704947,12.204603208979261,12.086305360713347,12.08350030012693,0.0,0.0,0.0,0.0,0.0,0.0
823,CO2_1_Fin_11-11_130,130.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,1.222425428,0.060891162,132.4089731,-0.000797388,0.0010558219999999999,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.124632216252714,12.119670877040173,12.113799034364881,12.257814294788696,12.25504648607193,12.277999548805635,12.300881929888972,12.328388978599664,12.357301310265106,12.390489012892402,12.467026710031387,12.524916634389205,12.575465583161998,12.654826646863327,12.7669035261001,12.853208716769515,12.936154540919775,12.973636230878922,12.988138150327659,13.025733109642353,13.076027710865835,13.069878863913193,13.029930697501861,12.984644192764314,12.940271548515879,12.08651999314491,12.083312254621596,0.0,0.0,0.0,0.0,0.0,0.0
824,CO2_1_Fin_11-11_131,131.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,1.219981631,1.417881154,132.1484196,-0.19757513100000001,0.26160928899999997,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.124891575962598,12.119877744267116,12.113964272925145,12.294251294636526,12.278389138203668,12.301958807244008,12.325728453401192,12.354278936516332,12.38428398036249,12.439718565425592,12.515141706578577,12.577078132044699,12.628125331553264,12.708723750240601,12.823564595139775,12.91102146294653,12.995049198653403,13.032618704098011,13.046690149440574,13.084325450471102,13.134927852601386,13.127910280231445,13.086381420068333,12.138721096720973,12.166658410114152,12.08612861195606,12.08337733906047,0.0,0.0,0.0,0.0,0.0,0.0
825,CO2_1_Fin_11-11_132,132.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,24.0,1.193817315,10.58139118,129.3095309,-2.341588481,3.1004979839999995,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12577856610951,12.120591199956593,12.114537934002184,12.378676770294184,12.329716071653705,12.354018313176844,12.37930306509111,12.409756689808889,12.45975115654807,12.541473655633322,12.62101274243813,12.68307643878819,12.734875456557043,12.073431037609614,12.125823324169014,12.152330203359842,12.177978174567794,12.055775842257406,12.057839026354474,12.318279505992344,12.268018647058229,12.239891853514345,12.239730333267458,12.24115958853618,12.242939996575856,12.086515478203147,12.083639896880493,0.0,0.0,0.0,0.0,0.0,0.0
826,CO2_1_Fin_11-11_133,133.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,24.0,24.0,1.202172376,7.875245306,130.22851880000002,-1.647541454,2.181510115,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12548184054827,12.120353567323841,12.114347645986486,12.110110626068062,12.106781366818797,12.542651134709411,12.404810386501111,12.391724902615607,12.425837647261075,12.511501703289406,12.585282517892576,12.646822361289999,12.698252266989172,12.780375247177485,12.898283792902859,12.986958115688786,13.072114683215014,12.05629616233567,12.0579495895584,12.057985193201041,12.057015923265208,12.327298895412115,12.249274906535172,12.218590452281052,12.220761557510688,12.086370107893107,12.083538395514111,0.0,0.0,0.0,0.0,0.0,0.0
827,CO2_1_Fin_11-11_134,134.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,1.219981631,1.417881154,132.1484196,-0.19757513100000001,0.26160928899999997,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.124891575962598,12.119877744267116,12.113964272925145,12.294251294636526,12.278389138203668,12.301958807244008,12.325728453401192,12.354278936516332,12.38428398036249,12.439718565425592,12.515141706578577,12.577078132044699,12.628125331553264,12.708723750240601,12.823564595139775,12.91102146294653,12.995049198653403,13.032618704098011,13.046690149440574,13.084325450471102,13.134927852601386,13.127910280231445,13.086381420068333,12.138721096720973,12.166658410114152,12.08612861195606,12.08337733906047,0.0,0.0,0.0,0.0,0.0,0.0
828,CO2_1_Fin_11-11_135,135.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,11-11.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,24.0,24.0,24.0,1.198206197,9.04383478,129.79060259999997,-1.978268832,2.6194263319999997,132.41002890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.125476840368144,12.120347138336301,12.114340952526627,12.362292800188413,12.320094373450239,12.34430193702235,12.369325636808789,12.399443671465317,12.441293331592984,12.525094316677693,12.60175071529869,12.663596285758322,12.71525178642276,12.79791866832304,12.91666305007605,12.107003964773464,12.168010905077944,12.055778300573257,12.057837377432545,12.290470502902672,12.252763956882717,12.227314628348669,12.227677746653255,12.229558639348895,12.231568480557875,12.086360817232498,12.083517914545514,0.0,0.0,0.0,0.0,0.0,0.0
