, Job_ID,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
10,CO2_1_Lon_01-26_10,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,25.0,23.0,24.0,25.0,23.0,23.0,23.0,1.213025862,0.34102255,131.3869736,-0.054089177999999995,0.07110459400000001,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541119585083333,12.456756038847223,12.452739792241667,12.449991573397222,12.44796356681389,12.44688186006389,12.44626062448889,12.444548036197222,12.442305466905555,12.441204984197222,12.440678257583334,12.440531978325,12.440599098055555,12.47685551325278,12.482273114869445,12.442967559136111,12.4445880331,12.446238817502778,12.447872131363889,12.579654394547223,12.551617601205555,12.555688289588888,12.566174796233335,12.576775996211111,12.587331037438888,12.451172247102779,12.450838019555556,0.0,0.0,0.0,0.0,0.0,0.0
11,CO2_1_Lon_01-26_11,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,25.0,23.0,25.0,24.0,24.0,24.0,23.0,23.0,1.212317565,0.69509574,131.3107392,-0.112080617,0.14733902599999998,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538700166888889,12.456745275191667,12.452727107461111,12.44997956166389,12.44795295401389,12.446871147005556,12.446249827405556,12.44453671438611,12.442293750472222,12.441193096147222,12.440666257944445,12.448390340691665,12.45830205865,12.441031294050001,12.44158562325,12.442896022169444,12.444570750591668,12.446227767183334,12.447861346263888,12.448698821344445,12.449134769052778,12.623824423019443,12.579437174430556,12.581305000147221,12.591718608013888,12.451158841436111,12.450820363897222,0.0,0.0,0.0,0.0,0.0,0.0
12,CO2_1_Lon_01-26_12,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,24.0,23.0,1.212258375,0.737895315,131.3058466,-0.11580241699999999,0.152231632,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537902134555555,12.456733169736111,12.452715724394444,12.449969394044444,12.447944069147223,12.446862943644444,12.446242010755556,12.444529272091668,12.442286749152778,12.441186412883333,12.440659838555556,12.44952390105,12.459105444808335,12.472548686366665,12.485324922544445,12.49669963988889,12.506679669769445,12.446317893208333,12.447865005677778,12.448692782150001,12.449128639025,12.449555532688889,12.449977485452777,12.664030463238888,12.604011978652778,12.45114138385,12.450802280666666,0.0,0.0,0.0,0.0,0.0,0.0
13,CO2_1_Lon_01-26_13,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,24.0,24.0,25.0,25.0,23.0,25.0,24.0,24.0,23.0,1.2120527140000001,0.85982049,131.2831442,-0.13307212599999999,0.17493406,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537341761694444,12.456732765566667,12.452714448088889,12.449968012575,12.447942865969445,12.446861649738889,12.446240377025001,12.444527320180557,12.442284591505556,12.441184108552777,12.440657421283333,12.440511202308334,12.440578420075001,12.4409975287,12.441575549194445,12.520893618883333,12.510518911833334,12.446321621561111,12.447866276811112,12.448693303955556,12.449128683325,12.449555153133334,12.449976732680556,12.664794250994445,12.621505032055556,12.451138776116666,12.450799001194445,0.0,0.0,0.0,0.0,0.0,0.0
14,CO2_1_Lon_01-26_14,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,23.0,24.0,23.0,25.0,24.0,24.0,23.0,1.2120949859999999,0.821304459,131.2879903,-0.129385702,0.17008795699999998,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537511396527778,12.456732814847223,12.452714776019445,12.449968380986112,12.447943185994445,12.4468620021,12.446240838880556,12.444527886122222,12.442285226452778,12.44118479216389,12.440658142444445,12.45024996480278,12.45960745706111,12.441025450966666,12.441578136541667,12.520010949169446,12.510077309241666,12.446320201583333,12.447865628722223,12.448692914602779,12.44912846985,12.449555095797223,12.449976813080555,12.665497897958332,12.604893109416667,12.45114150658889,12.450801324777778,0.0,0.0,0.0,0.0,0.0,0.0
15,CO2_1_Lon_01-26_15,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,23.0,1.212478599,0.637768717,131.329401,-0.097884629,0.128677252,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538818527833334,12.456739269141666,12.452722309119444,12.449975512722222,12.447949469227778,12.446868209494445,12.44624730163889,12.444534642494444,12.442292089308333,12.441191734786111,12.440665138583334,12.448153626652777,12.458032736824999,12.471537481663889,12.484343006105556,12.442957273813889,12.444574755502778,12.548983381058333,12.53024783081389,12.448834096977778,12.449158217577779,12.449570210611112,12.449990349161112,12.660995276072223,12.60226767855278,12.451149279638889,12.450811377752778,0.0,0.0,0.0,0.0,0.0,0.0
16,CO2_1_Lon_01-26_16,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,23.0,24.0,23.0,1.212646948,0.5702921989999999,131.3465069,-0.084872197,0.11157136,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5392366855,12.456744563513888,12.452727380802777,12.449980059969445,12.44795344805,12.446871948433333,12.446250832894444,12.444538051991668,12.442295369816668,12.441194899477779,12.440668204294445,12.447706040600002,12.45752038581111,12.471096490394446,12.483914731427777,12.442959386369445,12.444577426527777,12.446228025672223,12.447861484516666,12.582749909516668,12.553596695141666,12.449742153466667,12.450023224475,12.657130974391666,12.600829252872222,12.451157103552777,12.450819701372222,0.0,0.0,0.0,0.0,0.0,0.0
17,CO2_1_Lon_01-26_17,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,24.0,24.0,23.0,1.2126706090000001,0.534918449,131.3505243,-0.081816168,0.10755396199999999,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.539361975333334,12.456740534125,12.452724220694444,12.44997741183611,12.447951163941667,12.446870028741667,12.446249215469445,12.444536760077778,12.442294368441667,12.441194108294445,12.440667582327778,12.440521484925,12.440588783594444,12.479589698955554,12.484053067497223,12.495311461055557,12.50546769356111,12.514838776902778,12.524310735205555,12.448834503308333,12.449160506569445,12.449572892402777,12.449993129525,12.659057580336112,12.601114716080554,12.45115050946389,12.4508138707,0.0,0.0,0.0,0.0,0.0,0.0
18,CO2_1_Lon_01-26_18,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,24.0,25.0,24.0,23.0,24.0,23.0,23.0,1.212841862,0.46051254799999997,131.3676495,-0.06878899299999999,0.09042868800000001,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540018648277778,12.45675203645,12.452734807155556,12.449986790030556,12.447959339152778,12.446877549436111,12.446256201016666,12.444543338294444,12.442300556291666,12.441199967908334,12.440673167425,12.440526833269445,12.440593917247222,12.441012901080557,12.441590801538888,12.442904321827777,12.444579070808334,12.548720268730555,12.5298033947,12.44884334785,12.449167599075,12.617501080175002,12.576221484233333,12.578636214772223,12.589114051327778,12.451167761755556,12.450831685980555,0.0,0.0,0.0,0.0,0.0,0.0
19,CO2_1_Lon_01-26_19,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,24.0,23.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,1.212859007,0.428311589,131.3687542,-0.06794865,0.08932399,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540163331416666,12.456754190763888,12.45273681591389,12.449988575383333,12.44796089363889,12.446878988652777,12.446257548958334,12.444544619825,12.442301772566667,12.441201128077777,12.440674280336111,12.446744315002777,12.456416214783331,12.44103687601389,12.441593447097222,12.442904106363889,12.444578801794444,12.4462357721,12.447869284780555,12.582020556130555,12.553094345341666,12.55701315641111,12.567507124086113,12.578116885336112,12.588680604636112,12.451171042702779,12.450835128436111,0.0,0.0,0.0,0.0,0.0,0.0
20,CO2_1_Lon_01-26_20,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,24.0,23.0,23.0,25.0,25.0,25.0,23.0,25.0,25.0,23.0,1.212161031,0.7962296590000001,131.2945345,-0.124407531,0.16354374900000002,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5377227125,12.456737307272222,12.452718872519444,12.449972003575,12.447946336388888,12.446864854566666,12.446243522077777,12.444530400980556,12.442287560738889,12.441186989455556,12.440660226438888,12.440513940605555,12.440581094983333,12.441000147577778,12.4415781164,12.442891676327777,12.444566466455555,12.55273445822222,12.53237675828611,12.4488358112,12.449156601480556,12.449567605291668,12.449987285447222,12.664434249647222,12.604346072927777,12.451148392963889,12.450808053288888,0.0,0.0,0.0,0.0,0.0,0.0
21,CO2_1_Lon_01-26_21,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,26.0,24.0,23.0,23.0,24.0,24.0,24.0,23.0,1.212200086,0.766246738,131.2993654,-0.12073263699999999,0.158712805,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537797981305555,12.45673317155,12.452715552872222,12.449969194644444,12.447943894263888,12.446862741183333,12.446241742763888,12.444528941380556,12.442286376558334,12.44118600965,12.44065941155,12.44051326415,12.440580538241667,12.482351137641666,12.485830961947224,12.496958784597222,12.50688452453889,12.446318869516666,12.44786550615,12.44869311096389,12.449128850783334,12.449555640469445,12.449977501391666,12.664452210202777,12.604266313255554,12.45114157685,12.45080214593611,0.0,0.0,0.0,0.0,0.0,0.0
22,CO2_1_Lon_01-26_22,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,25.0,24.0,24.0,24.0,25.0,23.0,23.0,23.0,1.212785834,0.46224328200000003,131.3606527,-0.074111462,0.09742550400000001,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540032214722222,12.456754253997222,12.452736669041666,12.449988390483334,12.447960726394445,12.446878765416667,12.446257275102777,12.4445442729,12.442301363763889,12.44120068055,12.440673803033334,12.44052740383611,12.440594430913889,12.441013365855556,12.441591222030556,12.442904706133334,12.444579422566667,12.446236364255556,12.447869757344444,12.582501532727777,12.553395631444443,12.557283784569444,12.567778506469445,12.578389162225001,12.588953769444442,12.45117134688889,12.450835038052778,0.0,0.0,0.0,0.0,0.0,0.0
23,CO2_1_Lon_01-26_23,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,23.0,24.0,23.0,25.0,24.0,23.0,23.0,1.212766287,0.49189307200000004,131.35999990000002,-0.07460808599999999,0.09807835599999999,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.539766146388889,12.456747751058334,12.452730849047223,12.449983277744444,12.447956274047222,12.446874725547222,12.446253572041666,12.444540858888889,12.442298220908334,12.441197753286112,12.44067105376389,12.447122756455556,12.456852173619444,12.441034535816668,12.44159067475,12.516243655616668,12.507800661677779,12.446328690827778,12.447877625716666,12.448705337969445,12.449140729777778,12.619906355641666,12.577089861949998,12.579197307311112,12.589626867708335,12.45116118185,12.450825186636111,0.0,0.0,0.0,0.0,0.0,0.0
24,CO2_1_Lon_01-26_24,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,25.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,1.213251028,0.223709286,131.4116709,-0.03530199,0.046407317999999996,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.541778677194445,12.456759886811112,12.452743949119444,12.449995420158334,12.447966932816668,12.446885166719445,12.44626391605,12.444551391505556,12.44230885721389,12.44120837221389,12.440681636461111,12.445045364158334,12.454453836119443,12.441041978005556,12.4416009418,12.442911914288889,12.444586647208334,12.545669859022222,12.527864163091666,12.533304717208333,12.543735617433335,12.554292018216668,12.564866972761111,12.575522538313889,12.586111572088889,12.451177674288889,12.45084444023611,0.0,0.0,0.0,0.0,0.0,0.0
25,CO2_1_Lon_01-26_25,0.0,0.0,London.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,23.0,1.2120949859999999,0.821304459,131.2879903,-0.129385702,0.17008795699999998,131.45807820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537511396527778,12.456732814847223,12.452714776019445,12.449968380986112,12.447943185994445,12.4468620021,12.446240838880556,12.444527886122222,12.442285226452778,12.44118479216389,12.440658142444445,12.45024996480278,12.45960745706111,12.441025450966666,12.441578136541667,12.520010949169446,12.510077309241666,12.446320201583333,12.447865628722223,12.448692914602779,12.44912846985,12.449555095797223,12.449976813080555,12.665497897958332,12.604893109416667,12.45114150658889,12.450801324777778,0.0,0.0,0.0,0.0,0.0,0.0
