timestamp,DSP
20160413 00:00,-0.221
20160413 00:30,-0.221
20160413 01:00,-0.231
20160413 01:30,-0.231
20160413 02:00,-0.251
20160413 02:30,-0.251
20160413 03:00,-0.275
20160413 03:30,-0.275
20160413 04:00,-0.275
20160413 04:30,-0.275
20160413 05:00,-0.275
20160413 05:30,-0.275
20160413 06:00,-0.137
20160413 06:30,-0.137
20160413 07:00,-0.137
20160413 07:30,-0.137
20160413 08:00,-0.137
20160413 08:30,-0.137
20160413 09:00,-0.137
20160413 09:30,-0.137
20160413 10:00,-0.157
20160413 10:30,-0.157
20160413 11:00,-0.167
20160413 11:30,-0.167
20160413 12:00,-0.177
20160413 12:30,-0.187
20160413 13:00,-0.187
20160413 13:30,-0.177
20160413 14:00,-0.167
20160413 14:30,-0.167
20160413 15:00,-0.157
20160413 15:30,-0.157
20160413 16:00,-0.157
20160413 16:30,-0.157
20160413 17:00,1
20160413 17:30,1
20160413 18:00,1
20160413 18:30,1
20160413 19:00,1
20160413 19:30,1
20160413 20:00,1
20160413 20:30,1
20160413 21:00,-0.24
20160413 21:30,-0.24
20160413 22:00,-0.24
20160413 22:30,-0.24
20160413 23:00,-0.275
20160413 23:30,-0.275
20160414 00:00,-0.221
20160414 00:30,-0.221
20160414 01:00,-0.231
20160414 01:30,-0.231
20160414 02:00,-0.251
20160414 02:30,-0.251
20160414 03:00,-0.275
20160414 03:30,-0.275
20160414 04:00,-0.275
20160414 04:30,-0.275
20160414 05:00,-0.275
20160414 05:30,-0.275
20160414 06:00,-0.137
20160414 06:30,-0.137
20160414 07:00,-0.137
20160414 07:30,-0.137
20160414 08:00,-0.137
20160414 08:30,-0.137
20160414 09:00,-0.137
20160414 09:30,-0.137
20160414 10:00,-0.157
20160414 10:30,-0.157
20160414 11:00,-0.167
20160414 11:30,-0.167
20160414 12:00,-0.177
20160414 12:30,-0.187
20160414 13:00,-0.187
20160414 13:30,-0.177
20160414 14:00,-0.167
20160414 14:30,-0.167
20160414 15:00,-0.157
20160414 15:30,-0.157
20160414 16:00,-0.157
20160414 16:30,-0.157
20160414 17:00,1
20160414 17:30,1
20160414 18:00,1
20160414 18:30,1
20160414 19:00,1
20160414 19:30,1
20160414 20:00,1
20160414 20:30,1
20160414 21:00,-0.24
20160414 21:30,-0.24
20160414 22:00,-0.24
20160414 22:30,-0.24
20160414 23:00,-0.275
20160414 23:30,-0.275
20160415 00:00,-0.221
20160415 00:30,-0.221
20160415 01:00,-0.231
20160415 01:30,-0.231
20160415 02:00,-0.251
20160415 02:30,-0.251
20160415 03:00,-0.275
20160415 03:30,-0.275
20160415 04:00,-0.275
20160415 04:30,-0.275
20160415 05:00,-0.275
20160415 05:30,-0.275
20160415 06:00,-0.137
20160415 06:30,-0.137
20160415 07:00,-0.137
20160415 07:30,-0.137
20160415 08:00,-0.137
20160415 08:30,-0.137
20160415 09:00,-0.137
20160415 09:30,-0.137
20160415 10:00,-0.157
20160415 10:30,-0.157
20160415 11:00,-0.167
20160415 11:30,-0.167
20160415 12:00,-0.177
20160415 12:30,-0.187
20160415 13:00,-0.187
20160415 13:30,-0.177
20160415 14:00,-0.167
20160415 14:30,-0.167
20160415 15:00,-0.157
20160415 15:30,-0.157
20160415 16:00,-0.157
20160415 16:30,-0.157
20160415 17:00,1
20160415 17:30,1
20160415 18:00,1
20160415 18:30,1
20160415 19:00,1
20160415 19:30,1
20160415 20:00,1
20160415 20:30,1
20160415 21:00,-0.24
20160415 21:30,-0.24
